review_score,payment_value,deliver_time
4,38.71,8.0
4,141.46,13.0
5,179.12,9.0
5,72.2,13.0
5,28.62,2.0
4,175.26,16.0
5,75.16,9.0
1,35.95,9.0
5,169.76,18.0
1,259.06,12.0
4,114.13,5.0
5,50.13,12.0
5,32.7,4.0
4,54.36,11.0
5,146.45,13.0
5,43.09,12.0
5,29.75,6.0
4,92.97,13.0
2,118.86,21.0
5,88.9,4.0
3,17.28,4.0
4,187.57,18.0
5,104.11,4.0
2,125.43,28.0
1,227.68,12.0
5,60.69,9.0
4,192.68,14.0
4,63.34,30.0
2,313.19,8.0
1,224.9,18.0
4,63.1,22.0
5,100.25,18.0
5,188.41,1.0
5,106.95,30.0
4,66.79,20.0
5,43.0,7.0
5,508.17,17.0
3,49.69,10.0
5,154.19,11.0
1,356.12,33.0
5,95.67,7.0
4,121.62,9.0
1,153.72,10.0
4,54.82,10.0
5,82.33,3.0
5,52.24,4.0
5,130.56,6.0
5,52.84,12.0
5,71.91,7.0
1,151.04,5.0
4,386.33,19.0
5,50.25,4.0
5,128.68,7.0
5,43.46,3.0
1,91.68,24.0
1,99.26,23.0
5,141.15,5.0
4,91.66,4.0
5,53.66,5.0
5,317.34,7.0
4,43.0,18.0
4,346.09,2.0
3,824.76,9.0
4,39.99,10.0
5,392.6,4.0
5,55.02,5.0
3,46.2,9.0
5,59.34,3.0
5,209.41,6.0
4,57.0,9.0
5,84.56,17.0
1,267.8,19.0
5,145.66,10.0
5,37.83,9.0
1,234.28,6.0
4,201.82,2.0
3,27.77,2.0
5,59.1,18.0
5,66.98,4.0
3,132.26,8.0
4,63.34,20.0
2,231.12,23.0
5,574.36,11.0
5,29.92,13.0
4,409.79,17.0
5,62.69,10.0
5,105.56,24.0
4,37.38,3.0
5,76.65,20.0
1,120.84,16.0
4,238.69,19.0
5,772.08,7.0
5,103.27,13.0
5,23.69,4.0
1,101.74,36.0
5,28.86,10.0
5,117.77,13.0
5,172.14,2.0
5,42.59,6.0
5,21.38,3.0
4,554.4,7.0
4,96.01,9.0
4,609.9,12.0
5,42.4,12.0
2,253.4,11.0
1,28.62,3.0
1,40.09,56.0
5,26.44,1.0
5,132.88,5.0
5,111.89,6.0
4,231.79,12.0
3,135.51,54.0
5,38.1,1.0
5,74.03,1.0
1,58.0,15.0
5,66.02,7.0
4,53.2,21.0
3,518.39,6.0
4,78.15,11.0
5,84.57,5.0
1,155.0,27.0
4,142.16,6.0
1,141.9,1.0
4,113.62,5.0
5,161.77,7.0
5,95.52,5.0
5,68.59,11.0
1,106.38,9.0
5,141.67,3.0
5,89.88,6.0
5,187.2,8.0
5,118.35,8.0
5,309.72,2.0
5,38.47,7.0
5,312.91,7.0
5,51.79,8.0
1,232.14,6.0
2,22.79,8.0
1,67.5,28.0
5,156.67,14.0
5,53.83,15.0
5,299.72,10.0
5,314.34,4.0
5,97.88,5.0
5,75.18,15.0
5,161.3,17.0
5,117.45,9.0
5,170.43,23.0
3,141.06,11.0
5,134.58,7.0
5,59.85,8.0
4,68.63,3.0
5,86.05,3.0
4,64.74,14.0
5,217.78,15.0
4,67.5,14.0
5,215.14,18.0
5,126.67,4.0
5,285.59,5.0
4,145.5,20.0
5,43.29,6.0
5,38.41,8.0
5,402.49,19.0
5,110.89,10.0
1,204.45,8.0
5,109.35,2.0
3,74.74,5.0
2,56.86,5.0
5,97.81,10.0
5,133.25,12.0
5,180.95,13.0
4,445.32,21.0
5,52.51,5.0
5,124.16,8.0
5,65.47,2.0
4,98.16,19.0
5,40.78,20.0
5,273.27,7.0
5,106.73,10.0
3,187.19,10.0
5,389.82,11.0
5,393.46,10.0
4,122.22,12.0
2,698.85,10.0
5,99.33,9.0
4,58.28,4.0
4,77.03,8.0
3,49.73,8.0
2,139.8,7.0
4,86.36,22.0
3,423.67,11.0
5,108.01,3.0
5,35.36,4.0
5,305.7,6.0
3,216.26,26.0
5,83.05,6.0
5,121.68,7.0
5,57.68,8.0
4,92.97,18.0
5,35.24,7.0
3,286.54,7.0
5,78.09,11.0
5,301.19,10.0
5,140.88,1.0
4,41.69,5.0
4,20.75,13.0
5,165.4,20.0
5,102.56,15.0
1,84.64,10.0
5,446.51,7.0
5,217.78,16.0
4,138.09,12.0
5,50.68,12.0
5,170.1,14.0
5,89.88,11.0
4,103.55,8.0
5,160.14,15.0
5,46.0,9.0
3,63.46,8.0
5,145.0,6.0
5,136.4,16.0
4,34.24,10.0
5,146.44,6.0
1,257.94,12.0
5,80.1,9.0
5,74.16,13.0
5,338.0,6.0
4,183.65,10.0
5,18.62,12.0
