review_score,count
5.0,1
4.0,1
3.0,1
4.0,1
5.0,1
4.0,1
4.0,1
1.0,1
4.0,1
1.0,1
3.0,1
5.0,1
5.0,1
4.0,1
4.0,1
4.5,2
5.0,1
5.0,1
2.0,1
3.0,1
5.0,1
5.0,1
5.0,1
1.0,1
4.0,1
4.0,1
4.0,1
3.0,1
5.0,1
5.0,1
1.0,1
5.0,1
5.0,1
4.0,2
3.0,1
4.0,1
2.0,1
5.0,1
3.0,1
1.0,1
5.0,1
4.0,1
5.0,1
5.0,1
5.0,1
4.0,1
3.0,1
4.0,1
5.0,1
3.0,1
5.0,1
3.0,1
1.0,1
5.0,1
3.0,1
5.0,1
3.0,1
2.0,1
1.0,1
3.0,1
2.0,1
5.0,1
1.0,1
4.0,1
5.0,1
5.0,1
5.0,1
5.0,1
4.0,1
1.0,1
5.0,1
5.0,1
5.0,1
4.0,1
5.0,1
5.0,1
3.0,1
5.0,1
5.0,1
4.0,1
5.0,1
4.0,1
5.0,1
4.0,1
2.0,1
3.0,1
5.0,1
5.0,1
5.0,1
3.0,1
5.0,1
5.0,1
5.0,1
3.0,1
3.0,1
5.0,1
5.0,1
4.0,1
5.0,1
4.0,1
5.0,1
5.0,1
3.0,1
1.0,1
5.0,1
5.0,2
4.0,1
5.0,1
5.0,1
4.0,1
5.0,1
3.0,1
5.0,1
5.0,1
4.0,1
4.0,1
5.0,1
5.0,1
3.0,1
2.0,1
5.0,1
5.0,1
1.0,1
3.0,2
5.0,1
5.0,1
3.0,1
3.0,1
4.0,1
3.0,1
5.0,1
5.0,1
5.0,1
4.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
4.0,1
4.0,1
4.0,1
3.0,2
5.0,1
5.0,1
5.0,1
4.0,1
3.0,1
4.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
4.0,1
1.0,1
4.0,1
4.0,1
4.0,1
5.0,1
5.0,1
2.0,1
1.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
4.0,1
5.0,1
3.0,1
5.0,1
5.0,1
1.0,1
5.0,1
5.0,1
4.0,1
5.0,1
5.0,1
3.0,1
4.0,1
5.0,1
5.0,1
4.0,1
1.0,1
5.0,1
5.0,1
4.0,1
5.0,1
5.0,1
4.0,1
2.0,1
5.0,1
1.0,1
5.0,1
5.0,1
2.0,1
5.0,1
5.0,1
4.0,1
5.0,1
5.0,1
4.0,1
5.0,1
5.0,1
4.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
2.0,1
2.0,1
5.0,1
4.0,1
5.0,1
5.0,1
5.0,1
1.0,1
5.0,1
5.0,1
2.0,1
5.0,1
1.0,1
4.0,1
5.0,1
4.0,1
5.0,1
5.0,1
5.0,1
1.0,1
4.0,1
2.0,1
3.0,1
5.0,1
4.0,1
4.0,1
3.0,1
4.0,1
4.0,1
5.0,1
4.0,2
4.0,1
5.0,1
4.0,1
2.0,1
5.0,1
1.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
5.0,1
1.0,1
1.0,1
5.0,1
5.0,1
5.0,1
5.0,1
